index,0
Ryan Smith,"S. Ryan Smith is an American billionaire businessman. He is the executive chairman and cofounder of Qualtrics, an experience management company based in Provo, Utah, United States."
Mikko Hypponen,"Mikko Hermanni Hyppönen (Finnish pronunciation: [ˈmikːo ˈhypːønen]; born 13 October 1969) is a computer security expert and columnist. He is known for the Hyppönen Law about IoT security, which states that whenever an appliance is described as being ""smart"", it is vulnerable."
Anatoly Antonov,"Anatoly Ivanovich Antonov (Russian: Анато́лий Ива́нович Анто́нов, IPA: [ɐnɐˈtolʲɪj ɪˈvanəvʲɪtɕ ɐnˈtonəf]; born 15 May 1955) is a Russian politician, military officer and diplomat who is currently the Ambassador of Russia to the United States, formally replacing  Sergey Kislyak  on 21 August 2017 by presidential decree. With a reputation as a hardliner and tough negotiator, Antonov took up his post in Washington, D.C. on 1 September 2017."
Doug Mckelway,"Douglas B.  McKelway (born 1954) is a television journalist who serves as a general assignment reporter for the Washington, D.C. bureau of the Fox News Channel. He joined the network in November 2010."
Richard C. Shelby,"Richard Craig Shelby (born May 6, 1934) is an American lawyer and politician serving as the senior United States senator from Alabama. First elected to the U.S. Senate in 1986 as a Democrat who later switched to the Republican Party in 1994, he chaired the Senate Appropriations Committee from 2018 to 2021."
Martin Indyk,"Martin Sean Indyk (born July 1, 1951) is a diplomat and foreign relations analyst with expertise in the Middle East. He was a distinguished fellow in International Diplomacy and later executive vice president at the Brookings Institution in Washington, D.C from 2001-2018."
Bernadette Meehan,Bernadette Meehan (born 1975) is an American diplomat who served as a spokesperson for the United States National Security Council. She has since worked as chief international officer for the Obama Foundation.
R.R. Subramanian,Thirumanilaiyur Sitapati Ramana Subramanian (11 December 1938 – 26 February 2018) was an Indian bureaucrat who served as the cabinet secretary of India from August 1996 to March 1998. He was a 1961 batch Indian Administrative Service officer from Uttar Pradesh Cadre.
Richard Verma,"Richard Rahul Verma (born November 27, 1968) is an Indian-American lawyer and the former U.S. Ambassador to India from 2014 to 2017. Verma previously served as the Assistant Secretary of State for Legislative Affairs at the U.S. Department of State from 2009 to 2011."
Tamir Pardo,"Tamir Pardo (Hebrew: תמיר פרדו; born 1953) is the former Director of the Mossad, taking over the role from Meir Dagan on January 1, 2011. The appointment was announced by Israeli prime Minister Benjamin Netanyahu on November 29, 2010."
Mara Liasson,"Mara Liasson (; born June 13, 1955) is an American journalist and political pundit. She is the national political correspondent for NPR
and also a contributor at Fox News Channel."
Stephen Schwartz,"Stephen Lawrence Schwartz (born March 6, 1948) is an American musical theater lyricist and composer. In a career spanning over five decades, Schwartz has written such hit musicals as Godspell (1971), Pippin (1972), and Wicked (2003)."
Kim Jong-dae,"Kim Jong-dae (born September 21, 1981) is a male freestyle wrestler from South Korea. He participated in Men's freestyle 60 kg at 2008 Summer Olympics losing in the 1/8 of final with Murad Ramazanov."
Anders Fogh Rasmussen,Anders Fogh Rasmussen   (Danish pronunciation: [ˈɑnɐs ˈfɔwˀ ˈʁɑsmusn̩] (listen); born 26 January 1953) is a Danish politician who was the 24th Prime Minister of Denmark from November 2001 to April 2009 and the 12th Secretary General of NATO from August 2009 to October 2014. He became CEO of political consultancy Rasmussen Global and founded the Alliance of Democracies Foundation.
Stephen Hadley,"Stephen John Hadley (born February 13, 1947) is an American attorney and senior government official who served as the 21st United States National Security Advisor from 2005 to 2009. He served under President George W. Bush during the second term of his administration."
Thomas Fingar,"Charles Thomas Fingar, born January 11, 1946, is a professor at Stanford University. In 1986 Fingar left Stanford to join the State Department."
Tim Brown,"Timothy Donell Brown (born July 22, 1966) is an American former professional football player who was a wide receiver in the National Football League (NFL). He played college football for the Notre Dame Fighting Irish, where he won the Heisman Trophy."
Reza Zarrab,"Reza Zarrab (Persian: رضا ضراب, Turkish: Rıza Sarraf; born 12 September 1983) is an Iranian-born businessman based in Turkey. He has Iranian, Azerbaijani, Turkish and Macedonian citizenship.In March 2016, he was arrested in the United States, accused of being a member of an international criminal organization."
Babak Zanjani,"Babak Zanjani (Persian: بابک زنجانی, born 12 March 1974) is an Iranian billionaire and business magnate. He was the managing director of the UAE-based Sorinet Group, one of Iran's largest business conglomerates."
Romain Nadal,"Romain Nadal (born 19 May 1968) is the current French Ambassador in Venezuela.


== Career ==
From 1999 to 2002, Nadal served as diplomatic advisor to the President of the National Assembly (France)."
Ron Johnson,"Ronald Harold Johnson (born April 8, 1955) is an American accountant, businessman, and politician serving as the senior United States senator from Wisconsin. A Republican, Johnson was first elected to the U.S. Senate in 2010, defeating Democratic incumbent Russ Feingold."
Masha Lipman,"Maria Alexandrovna Lipman (Russian: Мария Александровна Липман; born 1952) is a Russian journalist, political scientist and US—Russia policy expert, who edited the magazine of the Carnegie Moscow Center until 2014, and who writes for Foreign Affairs and other publications, and who is critical of Putin. She is an expert at the Institute of European, Russian and Eurasian Studies at George Washington University."
Alexander Dugin,"Aleksandr Gelyevich Dugin (Russian: Александр Гельевич Дугин; born 7 January 1962) is a Russian political analyst and strategist known for his fascist views.. He was the main organizer of the  National Bolshevik Party, National Bolshevik Front, and the Eurasia Party."
Lanhee Chen,"Lanhee Joseph Chen (; born July 4, 1978) is an American policy advisor, attorney, academic, and political commentator. Chen serves as the David and Diane Steffy Fellow in American Public Policy Studies at the Hoover Institution, director of domestic policy studies and lecturer in the public policy program at Stanford University, and lecturer in law at Stanford Law School."
Gennady Gudkov,"Gennady Vladimirovich Gudkov (Russian: Генна́дий Влади́мирович Гудко́в; b. 15 August 1956 in Kolomna, Moscow Oblast, Russian SFSR, Soviet Union) is a Russian politician and businessman."
Tim Johnson,"Timothy Peter Johnson (born December 28, 1946) is a retired American lawyer and politician who served as a United States senator from South Dakota from 1997 to 2015. A member of the Democratic Party, he previously served as the United States representative for South Dakota's at-large congressional district from 1987 to 1997 and in the state legislature from 1979 to 1987."
Qin Gang,Qin Gang (Chinese: 秦刚; pinyin: Qín Gāng; born March 1966) is a Chinese diplomat currently serving as the Chinese Ambassador to the United States. Previously he served as Vice-Minister of Foreign Affairs.
Howard L. Berman,"Howard Lawrence Berman (born April 15, 1941) is an American attorney and retired politician who served as a U.S. Representative from California from 1983 to 2013. A member of the Democratic Party, he represented the state's 26th congressional district until redistricting and the 28th congressional district—which both encompassed parts of the San Fernando Valley—for a combined 15 terms."
Raymond Kelly,"Raymond Walter Kelly (born September 4, 1941) is the longest serving Commissioner in the history of the New York City Police Department (NYPD) and the first man to hold the post for two non-consecutive tenures. According to its website, Kelly — a lifelong New Yorker—had spent 45 years in the NYPD, serving in 25 different commands and as Police Commissioner from 1992 to 1994 and again from 2002 until 2013."
Ron Dermer,"Ronald Dermer (Hebrew: רונלד דרמר, born April 16, 1971) is an American-born Israeli political consultant and diplomat who served as the Israeli Ambassador to the United States from 2013 to 2021. He previously served as Israel's economic envoy to the United States from 2005 to 2008, a position requiring him to give up his American citizenship, and subsequently served as senior adviser to former Israeli Prime Minister Benjamin Netanyahu for four years."
Keith Ellison,"Keith Maurice Ellison (born August 4, 1963) is an American politician and lawyer serving as the 30th attorney general of Minnesota. A member of the Democratic–Farmer–Labor Party (DFL), Ellison was the U.S. representative for Minnesota's 5th congressional district from 2007 to 2019."
Patrick Meehan,"Patrick Connolly Meehan (12 April 1927 – 14 August 1994) was the victim of a controversial miscarriage of justice in Scotland. Although he died a natural death (of throat cancer in Swansea) a number of people involved in the case died violent deaths, in clashes between former associates among Glasgow criminals."
Chaka Fattah,"Chaka Fattah (born Arthur Davenport; November 21, 1956) is an American politician from the Commonwealth of Pennsylvania who served as a Democratic member of the U.S. House for Pennsylvania's 2nd congressional district from 1995 to 2016, and he was succeeded by fellow Democrat Dwight Evans. He previously served in the Pennsylvania Senate and the Pennsylvania House of Representatives."
Tony Blair,"Sir Anthony Charles Lynton Blair  (born 6 May 1953) is a British politician who served as Prime Minister of the United Kingdom from 1997 to 2007 and Leader of the Labour Party from 1994 to 2007. On his resignation he was appointed Special Envoy of the Quartet on the Middle East, a diplomatic post which he held until 2015."
Steve Chapman,"Stephen James “Steve” Chapman (born February 25, 1954) is an American opinion journalist and nationally syndicated columnist.


== Early life and education ==
Chapman was born in Brady, Texas and grew up in Midland and Austin, graduating from A.N. McCallum High School."
Mark D. Wallace,"Mark David Wallace (born December 31, 1967) is an American businessman, former diplomat and lawyer who has served in a variety of government, political and private sector posts. He served in several positions during the administration of President George W. Bush, including as the United States Ambassador to the United Nations for UN Management and Reform."
David Makovsky,"David Makovsky (born June 21, 1960) is the Ziegler distinguished fellow and director of the Washington Institute for Near East Policy Project on the Middle East Peace Process.In addition, he is adjunct professor at Johns Hopkins University's Paul H. Nitze School of Advanced International Studies (SAIS) in the Middle Eastern studies program.He is coauthor of the book Myths, Illusions, & Peace with Dennis Ross. Mr."
Shaul Mofaz,Shaul Mofaz (Hebrew: שאול מופז‎; 4 November 1948) is an Israeli former soldier and politician. He joined the Israel Defense Forces in 1966 and served in the Paratroopers Brigade.
Hamid Aboutalebi,"Hamid Aboutalebi (Persian: حمید ابوطالبی, born 16 June 1957) is a former Iranian diplomat and ambassador. Aboutalebi was previously ambassador of Iran to Australia, the European Union, Belgium, Italy, and a political director general to Iran's Ministry of Foreign Affairs."
Doug Lamborn,"Douglas Lawrence Lamborn (born May 24, 1954) is an American attorney and politician currently serving as the U.S. representative for Colorado's 5th congressional district. He is a member of the Republican Party."
Hamid Babaei,"Hamidreza Babaei (born April 22, 1975) is an Iranian footballer. He currently plays for Esteghlal Ahvaz F.C. in the IPL.


== Career ==
Babaei has been with Esteghlal Ahvaz F.C. since 2006."
Vali Nasr,"Vali Reza Nasr (Persian: ولی‌ رضا نصر, born 20 December 1960) is an Iranian-American academic and author, specializing in the Middle East and the Islamic world. He is Majid Khaddouri Professor of International Affairs and Middle East Studies at the Johns Hopkins School of Advanced International Studies (SAIS) in Washington, D.C. He served as the eighth dean of the school from 2012 to 2019."
Ali Ansari,"Ali Ansari (Urdu: علی انصاری) (born 8 September 1987) is a Pakistani actor, model, musician (trained drummer) and video jockey. Born in Lahore into Momin Ansari family, he began his career as a RJ for hit radio show ""Dude, where’s my song?"" and then became a model."
Spencer Ackerman,"Spencer Ackerman is an American journalist and writer. Focusing primarily on national security, he began his career at The New Republic in 2002 before writing for Wired, The Guardian and The Daily Beast.He won a 2012 National Magazine Award for reporting on biased FBI training materials and a 2014 Pulitzer Prize for his coverage of the 2013 global surveillance disclosures.During his career, Ackerman has reported from Afghanistan, Iraq, and Guantanamo Bay detention camp."
Jessica Yellin,"Jessica Sage Yellin (born February 25, 1971) is an American journalist.  Focused primarily on politics, she was the Chief White House Correspondent for CNN in Washington, D.C.from 2011 to 2013."
Michael Eisenstadt,"Eisenstadt (German pronunciation: [ˈaɪ̯zn̩ʃtat] (listen); Hungarian: Kismarton; Croatian: Željezni grad; Željezno; Slovene: Železno, Austro-Bavarian: Eisnstod) is a city in Austria, the state capital of Burgenland. It had a recorded population on 1 January 2020 of 14,815."
David A. Deptula,David A. Deptula is the Dean of the Mitchell Institute of Aerospace Power Studies. He transitioned from the U.S. Air Force in 2010 at the rank of Lieutenant General after more than 34 years of service.
Danny Yatom,"Danny Yatom (Hebrew: דני יתום, born 15 March 1945) is a former Israeli politician who served as a member of the Knesset for Labor. In 1996–1998, Yatom was head of the Mossad and between 1999 and 2001, he served as Prime Minister Ehud Barak's Chief Of Staff and security advisor."
Yoram Schweitzer,"Yoram Schweitzer is an Israeli intelligence official who is a senior research fellow at Israel's Institute for National Security Studies (INSS) and is Director of the Institute's Research Program: Terrorism and Low-Intensity Conflict.During 2017, Schweitzer was to be a Visiting Fellow at the Center for American Progress. Formerly, he served as a senior Military Intelligence officer and private consultant to the Office of the Prime Minister of Israel."
Danny Ayalon,"Daniel ""Danny"" Ayalon (Hebrew: דניאל ""דני"" אילון; born (1955-12-17)17 December 1955) is an Israeli diplomat, columnist and politician. He served as Deputy Foreign Minister and as a member of the Knesset."
James Rosen,"James Samuel Rosen (born September 2, 1968) is an American journalist, television correspondent, and author, who worked as a Washington, D.C., former correspondent for the Fox News Channel. At the end of 2017, Rosen left Fox News after multiple accusations of sexual harassment from coworkers."
Lanny Davis,"Lanny Jesse Davis (born December 12, 1945) is an American political operative, lawyer, consultant, lobbyist, author, and television commentator. He is the co-founder and partner of the law firm of Davis Goldberg & Galper PLLC, and co-founder and partner of the public relations firm Trident DMG.  From 1996 to 1998, he served as a special counsel to President Bill Clinton, and was a spokesperson for the President and the White House on matters concerning campaign-finance investigations and other legal issues.In July 2018, Davis was hired by Michael Cohen, a former personal attorney to Donald Trump, to represent Cohen in his testimony before Congress regarding President Donald Trump."
Council European Union,"The Council of the European Union, often referred to in the treaties and other official documents simply as the Council, and informally known as the Council of Ministers, is the third of the seven Institutions of the European Union (EU) as listed in the Treaty on European Union. It is one of three legislative bodies and together with the European Parliament serves to amend and approve or veto the proposals of the European Commission, which holds legislative initiative.The Council of the European Union and the European Council are the only EU institutions that are explicitly intergovernmental, that is, forums whose attendees express and represent the position of their member state's executive, be they ambassadors, ministers or heads of state/government."
Frederick W Kagan,"Frederick W. Kagan is an American resident scholar at the American Enterprise Institute (AEI), and a former professor of military history at the U.S. Military Academy at West Point.


== Biography ==
Kagan graduated from Hamden High School before he earned a B.A. in Soviet and East European studies and a Ph.D. in Russian and Soviet military history, both from Yale University."
Joe Donnelly,"Joseph Simon Donnelly Sr. (born September 29, 1955) is an American attorney and politician who served as a United States senator from Indiana from 2013 to 2019."
Rosa DeLauro,"Rosa Luisa DeLauro (; born March 2, 1943) is an American politician who has been the U.S. representative for Connecticut's 3rd congressional district since 1991. She is a member of the Democratic Party."
Claire McCaskill,"Claire Conner McCaskill (; born July 24, 1953) is an American politician who served as a United States Senator from Missouri from 2007 to 2019 and as State Auditor of Missouri from 1999 to 2007.
McCaskill is a native of Rolla, Missouri."
Cory Booker,"Cory Anthony Booker (born April 27, 1969) is an American politician, attorney, and author who has served as the junior United States senator from New Jersey since 2013. A member of the Democratic Party, Booker is the first African-American U.S. senator from New Jersey."
Bobby Jindal,"Piyush ""Bobby"" Jindal (born June 10, 1971) is an American politician who served as the 55th Governor of Louisiana from 2008 to 2016 and is the only living former Louisiana governor. Jindal previously served as a member of the U.S. House of Representatives and Chairman of the Republican Governors Association.In 1995, Jindal was appointed secretary of the Louisiana Department of Health and Hospitals."
John Hoeven,"John Henry Hoeven III ( HO-ven; born March 13, 1957) is an American banker and politician serving as the senior U.S. senator from North Dakota since 2011. A Republican, he served as the 31st governor of North Dakota from 2000 to 2010."
Stockholm International Peace Research Institute,"Stockholm International Peace Research Institute (SIPRI) is an  international institute based in Stockholm. It was founded in 1966 and provides data, analysis and recommendations for armed conflict, military expenditure and arms trade as well as disarmament and arms control."
Khawaja Muhammad Asif,"Khawaja Muhammad Asif (Urdu: خواجہ محمد آصف; born 9 August 1949) is a Pakistani politician who has been a member of the National Assembly of Pakistan, since August 2018. Previously, he was a member of the National Assembly from 1993 to 1999 and again from 2002 to 2018 and till date."
Jacob Lew,"Jacob Joseph Lew (born August 29, 1955) is an American attorney and politician who served as the 76th United States Secretary of the Treasury from 2013 to 2017. A member of the Democratic Party, he also served as the 25th White House Chief of Staff from 2012 to 2013 and Director of the Office of Management and Budget in both the Clinton Administration and Obama Administration."
Brian Schatz,"Brian Emanuel Schatz (; born October 20, 1972) is an American educator and politician serving as the senior United States senator from Hawaii, a seat he has held since 2012. Governor Neil Abercrombie appointed Schatz to replace Senator Daniel Inouye after Inouye's death."
Debbie Stabenow,"Deborah Ann Stabenow ( STAB-ə-now; née Greer, born April 29, 1950) is an American politician serving as the senior United States senator from Michigan, a seat she has held since 2001. A member of the Democratic Party, she became the state's first female U.S. senator after defeating Republican incumbent Spencer Abraham in the 2000 election."
Peter Westmacott,"Sir Peter John Westmacott  (born 23 December 1950) is a senior British diplomat, who was British Ambassador to Turkey, then Ambassador to France (2007 to 2011) and finally Ambassador to the United States from January 2012 to January 2016, succeeding Sir Nigel Sheinwald, a posting announced by the Prime Minister's Office on 24 June 2011.


== Career ==

Westmacott joined the Foreign and Commonwealth Office in 1972, and his first overseas posting was as Second Secretary at Tehran, Iran, in 1974."
Peter Wittig,"Peter Wittig (born 11 August 1954) is a former German diplomat and has been Germany's  Ambassador to the Court of St. James in the United Kingdom from July, 2018, to April, 2020, after having served as Ambassador to the United States from April 30, 2014, to June 20, 2018 and Permanent Representative at the United Nations in New York from 2009 to 2014."
Gerard Araud,"Gérard Araud (born February 20, 1953) is a French diplomat who served as Ambassador of France to the United States from 2014 to 2019. He has also served as France's permanent representative to the United Nations as well as Director General for Political and Security Affairs of the Ministry of Foreign Affairs and International Development."
Paul Ziemiak,"Paul Ziemiak (born 6 September 1985 as Paweł Ziemiak) is a German politician who served as General Secretary of the Christian Democratic Union of Germany (CDU) from 8 December 2018 to 31 January 2022, under the leadership of Annegret Kramp-Karrenbauer and Armin Laschet. He is a member of the Bundestag."
Bill Nelson,"Clarence William Nelson II (born September 29, 1942) is an American politician and attorney serving as the administrator of the National Aeronautics and Space Administration (NASA). Nelson previously served as a United States Senator from Florida from 2001 to 2019."
Ted Deutch,"Theodore Eliot Deutch ( DOYTCH; born May 7, 1966) is an American lawyer and politician serving as the U.S. representative from Florida's 22nd congressional district since 2010. His district, numbered as the 19th district from 2010 to 2013 and as the 21st from 2013 to 2017, includes much of northern Broward County and southern Palm Beach County in South Florida."
Dan Kildee,"Daniel Timothy Kildee (; born August 11, 1958) is an American politician serving as the U.S. representative for Michigan's 5th congressional district since 2013. He is a member of the Democratic Party."
Xavier Becerra,"Xavier Becerra ( hah-vee-AIR beh-SEHR-ə; American Spanish: [haˈβjeɾ beˈse.ra]; born January 26, 1958) is an American lawyer and politician serving as the 25th United States secretary of health and human services since March 2021. Becerra previously served as the attorney general of California from January 2017 until March 2021."
Bill Pascrell,"William James Pascrell Jr.  (born January 25, 1937) is an American politician who is the U.S. representative for New Jersey's 9th congressional district, having served in this position since January 2013."
Joe Liberman,"Joseph Isadore Lieberman (; born February 24, 1942) is an American politician, lobbyist, and attorney who served as a United States senator from Connecticut from 1989 to 2013. A former member of the Democratic Party, he was its nominee for Vice President of the United States in the 2000 election."
Yisrael Katz,"Yisrael Katz (Hebrew: ישראל כץ, 6 December 1927 – 29 October 2010) was an Israeli scholar, civil servant and politician who served as Minister of Labor and Social Affairs. He was one of the most influential people in Israel in the creation and development of the Israeli welfare state over several decades."
Seyed Abbas Araqchi,"Seyed Abbas Araghchi (Persian: سید عباس عراقچی, pronunciation  Persian pronunciation: [ʔæbˌbɒːse æɾɒːˈɢtʃi]; born 5 December 1962 in Tehran) is an Iranian diplomat who is the former political deputy at the Ministry of Foreign Affairs of Iran from 2017 to 2021. He previously held office as the Deputy for Asia–Pacific and the Commonwealth Affairs and Legal and International Affairs of the Ministry of Foreign Affairs of Iran."
James Robertson,James Robertson Justice (born James Norval Harald Justice; 15 June 1907 – 2 July 1975) was a British actor. He is best remembered for portraying pompous authority figures in comedies including each of the seven films in the Doctor series.
Hossein Shariatmadari,"Hossein Shariatmadari (Persian: حسین شريعتمداری) is the managing editor of Kayhan, a conservative Iranian newspaper.


== Career ==
A strong supporter of president Mahmoud Ahmadinejad, he has been described as being ""a close confidant of Iran’s supreme leader"" Ali Khamenei, and as having ""links"" to Iran's intelligence services.On 17 April 2012 Shariatmadari published an editorial in which he stressed Iran's right to enrich uranium to 99%."
Mohammad Marandi,"Seyed Mohammad Marandi (Persian: سید محمد مرندی; born 1966 in Richmond, Virginia) is an American academic and political analyst. He is the son of Alireza Marandi, a physician who has served in Iran's government as Minister of Health as well as a Member of Parliament."
Mehdi Kouchakzadeh,"Mehdi Kouchakzadeh (Persian: مهدی کوچک‌زاده) is an Iranian Hydraulic engineer, academic and principlist politician, who was member of Islamic Consultative Assembly from 2004 until 2016.


== Parliamentary career ==


=== Controversy ===
In an 8th parliament session speech, Ali Motahari claimed that he has russian roots and his former surname was ""Küçükov"" (Russian: Кючуков)."
Alireza Jafarzadeh,Alireza Jafarzadeh is a media commentator on the Middle East and an active dissident figure to the Iranian government. He is best known for revealing the existence of clandestine nuclear facilities in Iran in 2002.
Baker Spring,"Baker Hot Springs are a series of geothermal spring located on Fumarole Butte, northwest of the town of Delta, Utah. They were formerly known as Crater Springs and Abraham Hot Springs."
Alistair Burt,Alistair James Hendrie Burt (born 25 May 1955) is a British politician who served as Member of Parliament (MP) for North East Bedfordshire from 2001 until 2019. He was previously MP for his native Bury North in Greater Manchester from 1983 until 1997.
Talat Masood,"Lieutenant-General Talat Masood (Urdu: طلعت مسعُود); HI(M), SBt,: 1–9  is a retired three-star rank army general, a political commentator, and a mechanical engineer.His career in the military spent in the Pakistan Army Corps of EME as an engineering officer and also served as the Federal Secretary at the Ministry of Defence Production of Government of Pakistan. He is noted for his analysis on the global national security, economic stability, and often consults on politics on the national and international media networks."
Eamon Gilmore,"Eamon Gilmore (born 24 April 1955) is an Irish Labour Party politician who serves as European Union Special Representative for Human Rights since February 2019. He previously served as European Union Special Envoy for the Colombian Peace Process from 2015, Tánaiste and Minister for Foreign Affairs and Trade from 2011 to 2014, Leader of the Labour Party from 2007 to 2014, Chair of the Organization for Security and Co-operation in Europe from 2012 to 2013, Minister of State at the Department of the Marine from 1994 to 1997."
Jeanne Shaheen,"Cynthia Jeanne Shaheen ( shə-HEEN; née Bowers, born January 28, 1947) is an American politician and retired educator serving as the senior United States senator from New Hampshire since 2009. A member of the Democratic Party, she is the first female U.S. senator in New Hampshire's history, the first elected female governor of New Hampshire and the first woman elected as both a governor and a U.S. senator, with the junior senator from New Hampshire and former governor of the state Maggie Hassan being the second woman to have occupied both of those roles.After serving two terms in the New Hampshire Senate, Shaheen was elected governor in 1996 and reelected in 1998 and 2000."
Steven Chu,"Steven Chu  (born February 28, 1948) is an American physicist and former government official. He is a Nobel laureate and was the 12th United States Secretary of Energy."
Eric Johnson,"Eric Johnson (born August 17, 1954) is an American guitarist, vocalist, composer, and multi-instrumentalist. His 1990 album Ah Via Musicom was certified platinum by the RIAA, and the single ""Cliffs of Dover"" won the Grammy Award for Best Rock Instrumental Performance."
Alireza Tangsiri,"Commodore Alireza Tangsiri (Persian: علیرضا تنگسیری) is an Iranian military officer and the current commander of Navy of the Islamic Revolutionary Guard Corps appointed since 23 August 2018, replacing Ali Fadavi. He has claimed that Saudi Arabians are actually Jews and enemies of Islam, not Muslims."
James Warlick,"James Warlick (born March 29, 1956) is a US diplomat, former United States Ambassador to Bulgaria.
James Warlick a career member of the Senior Foreign Service, was announced for nomination by President Barack Obama on October 1, 2009 and confirmed on December 29, 2009 by the United States Senate, and sworn in on January 25, 2010, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Bulgaria.As of September 2013, he is the U.S. Co-Chair of the Organization for Security and Cooperation in Europe (OSCE) Minsk Group, a position that comes to an end on 31 December 2016, according to a message, published by Warlick on his Twitter account."
Rasim Musabayov,"Rasim Musabayov, sometimes known as Rasim Musabekov, (Azerbaijani: Rasim Musabəyov, b. 1 January 1951, Baku, Azerbaijani SSR, USSR) is a Member of the National Assembly of Azerbaijan, political scientist and specialist in conflict resolution."
Dan Senor,"Daniel Samuel Senor (; born November 6, 1971) is an American-Canadian columnist, writer, and political adviser. He was chief spokesman for the Coalition Provisional Authority in Iraq and senior foreign policy adviser to U.S. presidential candidate Mitt Romney during the 2012 election campaign."
Geraldo Rivera,"Geraldo Rivera (born Gerald Riviera; July 4, 1943) is an American journalist, attorney, author, political commentator, and former television host. He hosted the tabloid talk show Geraldo from 1987 to 1998."
Martha Raddatz,"Martha Raddatz (; born February 14, 1953) is an American reporter with ABC News. She is the network's Chief Global Affairs Correspondent reporting for ABC's World News Tonight with David Muir, Nightline, and other network broadcasts."
John Baird,"John Logie Baird FRSE (; 13 August 1888 – 14 June 1946) was a Scottish inventor, electrical engineer, and innovator who demonstrated the world's first live working television system on 26 January 1926. He went on to invent the first publicly demonstrated colour television system and the first viable purely electronic colour television picture tube.In 1928 the Baird Television Development Company achieved the first transatlantic television transmission."
David Horvitz,"David Horvitz (born 1982) is an American artist who uses art books, photography, performance art, and mail art as media for his work. He is known for his work in the virtual sphere."
Gary Deakin,"Sir Roger Alexander Deakins  (born 24 May 1949) is an English cinematographer, best known for his collaborations with directors the Coen brothers, Sam Mendes and Denis Villeneuve. Deakins has been admitted to both the British Society of Cinematographers and to the American Society of Cinematographers."
Robert Zoellick,"Robert Bruce Zoellick (; German: [ˈtsœlɪk]; born July 25, 1953) is an American public official and lawyer who was the eleventh president of the World Bank, a position he held from July 1, 2007 to June 30, 2012. He was previously a managing director of Goldman Sachs, United States Deputy Secretary of State (resigning on July 7, 2006) and U.S. Trade Representative, from February 7, 2001 until February 22, 2005."
Fatemeh Hashemi,"Fatemeh Hashemi (born 1969) is an Iranian television actress.


== Career ==
Fatemeh Hashemi is an Iranian actress."
Erick Erickson,"Erick Woods Erickson (born June 3, 1975) is a conservative evangelical American blogger and radio host. He hosts the radio show Atlanta's Evening News with Erick Erickson, broadcast on 750 WSB (AM), and runs the blog The Resurgent."
Taner Yildiz,"Taner Yıldız (born 3 April 1962 in Devecipınar, Boğazlıyan, Yozgat Province) is a Turkish politician. He is a member of the Justice and Development Party and served as the Minister of Energy and Natural Resources between 2009 and 2015.Taner Yıldız graduated from the Istanbul Technical University as an electrical engineer and worked for the Kayseri Electricity Generation Company."
Josh Rogin,"Josh Rogin is an American journalist who serves as a foreign policy columnist for the Global Opinions section of The Washington Post and as a political analyst for CNN. He is the author of the book Chaos Under Heaven: Trump, Xi, and the Battle for the 21st Century.


== Biography ==
Rogin is Jewish and was raised in Bensalem, Pennsylvania in the suburbs of Philadelphia."
Keith Payne,"Keith Payne,  (born 30 August 1933) is an Australian recipient of the Victoria Cross, the highest decoration for gallantry ""in the presence of the enemy"" awarded to members of the British and Commonwealth armed forces. Payne's VC was awarded for his actions during the Vietnam War."
Martin Erdmann,"Martin Erdmann (born 25 January 1955) is a German diplomat.


== Career ==
Erdmann was born in Münster, North Rhine-Westphalia, Germany."
Cho Min,"Cho Min (Korean: 조민, born 1991) is the daughter of Cho Kuk. She is currently a medical student at the Busan National University."
Brian Atwood,"Brian Atwood (born August 4, ?) is an American shoe designer of Mexican descent. He studied at the Fashion Institute of Technology before becoming a model."
Navi Pillay,"Navanethem ""Navi"" Pillay (born 23 September 1941) is a South African jurist who served as the United Nations High Commissioner for Human Rights from 2008 to 2014. A South African of Indian Tamil origin, she was the first non-white woman judge of the High Court of South Africa, and she has also served as a judge of the International Criminal Court and President of the International Criminal Tribunal for Rwanda."
Luxembourg-based Court,"Luxembourg (Luxembourgish: Lëtzebuerg; French: Luxembourg; German: Luxemburg), also known as Luxembourg City (Luxembourgish: Stad Lëtzebuerg or d'Stad; French: Ville de Luxembourg; German: Stadt Luxemburg or Luxemburg-Stadt), is the capital city of the Grand Duchy of Luxembourg and the country's most populous commune. Standing at the confluence of the Alzette and Pétrusse rivers in southern Luxembourg, the city lies at the heart of Western Europe, situated 213 km (132 mi) by road from Brussels, 372 km (231 mi) from Paris, and 209 km (130 mi) from Cologne."
Foundation for the Defense of Democracies FDD,"The Foundation for Defense of Democracies (FDD) is a 501(c)(3) non-profit think tank and registered lobbying organization based in Washington, D.C., United States.The group's political leanings have been described as hawkish and neoconservative, though it is officially nonpartisan.  FDD publishes research on foreign policy and security issues, focusing on subjects such as nuclear-non proliferation, cyber threats, sanctions, illicit finance, and policy surrounding North Korea, Iran, Russia, the war in Afghanistan, and other areas of study.FDD has been identified as part of the Israel lobby in the United States."
